ccaa,year,item,points,obligatory,ctx,app,explain,graph,draw,evaluate,note
ext,2026,5,2.5,0,1,1,1,0,1,0,"Project slide magnified x20 on wall 12 m away (projector, spec as data); reason lens type; s, f; ray tracing with verbal justification"
ext,2026,6,2.5,0,0,0,0,1,0,0,"Photoelectric table V_stop vs f (+ plotted line): complete table, Einstein eq., h from two points, W, f_threshold"
ext,2026,7,2.5,0,0,0,0,0,0,0,"Radioactive sample: lambda, T1/2, N0, energy released"
val,2025,1A,2,0,1,0,0,1,0,0,"IK Pegasi binary (named real system); positions from figure; g at P, E_p, escape speed"
val,2025,1B,2,0,0,1,0,0,0,0,"Generic space station around a planet; symbolic h(v,g0,R) and g(h)"
val,2025,2,1.5,1,2,1,1,0,1,1,"Worker in chlorine electrolysis plant under 18 kA cable; B at head; draw vector; justify law; RD 299/2016 2 T limit: is she protected?"
val,2025,3A,1.5,0,0,0,1,0,1,0,"+q/-q on axis: reasoned direction of total E in three regions with vector representation"
val,2025,3B,1.5,0,0,0,1,1,1,0,"Square loop, B(t) from graph; fem; draw B and induced current, reason sense"
val,2025,4A,1.5,0,0,0,0,1,0,0,"Wave parameters from two graphs (t=0 and x=0)"
val,2025,4B,1.5,0,1,1,0,0,0,0,"Two air-conditioning compressors 100 m apart; dB from each at midpoint; power of second"
val,2025,5A,2,0,0,0,1,0,0,0,"x(t)=0.10cos(10pi t+pi/2): 'what type of motion?'; T, x, v at t=1; energies at A/2"
val,2025,5B,2,0,0,0,1,0,1,0,"Object 15 cm from 4 D lens: ray sketch, position, size, characteristics; where to move object for inverted 4 cm image"
val,2025,6A,1.5,0,0,0,0,0,0,0,"Po-218 alpha decay: A and Z of Pb daughter (reasoned bookkeeping), mass 10 min earlier"
val,2025,6B,1.5,0,1,0,1,0,0,0,"Spaceship to Barnard's star at 0.7c: which frame measures proper time (reasoned); durations"
val,2026,1,2,1,1,1,0,0,0,0,"Deimos-2 Earth-observation satellite at 620 km (named real); derive v_orb, g(h)"
val,2026,2A,3,0,0,0,1,0,0,0,"Two charges on square: V at C, D, justify equipotential diagonal; E at D and charge to cancel; state Gauss law and reason flux"
val,2026,2B,3,0,0,0,0,1,1,0,"Two parallel wires, point P located on figure; B at P; force on moving charge, represent vectors; I2 for given B at S"
val,2026,3A,3,0,0,0,0,1,0,0,"Photograph of rope wave at t=2 s: lambda, A, v, phase from figure; wave function; phase-difference distance; y, v, a at x=40 cm"
val,2026,3B,3,0,0,0,1,1,0,0,"Laser on material: n2 from angles in scheme; justify how angles change for larger n2; lens f'=40 cm image"
val,2026,4A,2,0,2,1,0,0,0,0,"Tc-99m nuclear medicine: activity must be 400 MBq at test after 5 h delay -> activity, N and mass to produce (spec drives calc; no judgment asked)"
val,2026,4B,2,0,0,0,1,1,0,0,"Photoelectric tube: W and E_k; reason meaning of slope and intercepts of given E_k vs f graph"
pv,2025,A1,2.5,1,2,1,1,0,0,0,"Galileo/ESA satellite, student cast as member of a design team; explain how H follows from v, justify with force balance, discuss energy; figure check only optional; no judgment against criterion"
pv,2025,B1,2.5,0,0,0,1,0,1,0,"Two parallel currents: explain with sketches direction of B and forces; B at midpoint; where B cancels, justify"
pv,2025,B2,2.5,0,0,0,0,0,1,0,"Two charges: V and E at origin and (0,3) cm; sketch E vectors"
pv,2025,C1,2.5,0,0,0,0,0,1,0,"Concave mirror f=50 cm, object at 25 cm: ray tracing; position and size"
pv,2025,C2,2.5,0,0,0,0,0,0,0,"Harmonic wave: k and phase from y(0,0); max acceleration"
pv,2025,D1,2.5,0,0,0,1,0,0,0,"Potassium W=2.29 eV, 200 nm: reason if photoelectric effect occurs; v, f_threshold; stopping voltage"
pv,2025,D2,2.5,0,0,0,0,0,0,0,"Metal, two wavelengths, E_k values: f of second light, threshold f"
pv,2026,1,2.5,1,2,1,1,0,0,1,"Alarmist Starlink headline to analyse: geo orbit r, h, v; fall speed; compare E_k with a firecracker 'is destroying large areas realistic?'; reason without calc for other masses"
pv,2026,2,2.5,1,2,1,1,0,0,1,"Mountain weather-station microgenerator prototype tested by engineering team: state flux and Faraday-Lenz, explain minus sign; fem in two configurations; sensor spec requires >=0.50 mV: does prototype comply?"
pv,2026,3a,2.5,0,1,1,0,0,0,0,"Violin string E note, fingering for A; concert with two violins dB at 10 m; standard calcs"
pv,2026,3b,2.5,0,2,1,1,0,0,0,"Choose between a magnifier (+3 D) and a spectacle lens (-3 D) to build a slide projector, justify (design decision); projection distances; compare image properties (borderline 1/2)"
pv,2026,4a,2.5,0,0,0,1,0,0,0,"Metal 280 nm, V_stop 1.3 V; then oxidised surface 0.7 V: explain Einstein equation terms; reason change of threshold and why oxidation changes W0"
pv,2026,4b,2.5,0,1,1,1,0,1,0,"C-14 dating of bone remains (archaeological application); explain meaning of magnitudes in decay law; sketch qualitative decay curve; derive lambda-T relation; age"
clm,2025,P1,2.5,1,1,1,0,0,0,0,"Spacecraft on Saturn (named planet, generic craft): g, v_esc deduced; max height; synchronous orbit; internal choice 2 of 3"
clm,2025,P2,2.5,1,1,1,1,0,0,0,"Mass spectrometer (named device): reason sign of charges, determine charges; a and time; velocity-selector E; internal choice 2 of 3"
clm,2025,P3,2.5,1,0,0,1,0,1,0,"Diverging lens -10 D: ray tracing and image characteristics; numbers; converging lens real/virtual reasoning; internal choice 2 of 3"
clm,2025,C,2.5,1,1,0,1,0,0,0,"Cuestiones 2 of 3: photoelectric Al; two spheres connected; school-lab pendulum to measure g: same result with other bob mass? why?; length to double T; T on Moon"
clm,2026,A,2,1,2,1,1,0,0,0,"Artemis II Orion re-entry, crew safety: v_orb compared with v_esc (qualitative comparison); E_mec of capsule at rest on surface and energy to dissipate for safe landing (scenario drives A2; no criterion to judge against)"
clm,2026,B1,0.5,1,0,0,1,0,0,0,"Work moving 4 nC between 200 V and 500 V; reason the result"
clm,2026,B2.A,2.5,0,0,0,0,0,0,0,"Rotating rectangular loop: flux(t), value at 0.5 s; fem and I(t), max"
clm,2026,B2.B,2.5,0,0,0,0,0,1,0,"Two charged spheres, one hanging under gravity: force diagram, equilibrium distance; charges/potentials after connecting"
clm,2026,C1,0.5,1,0,0,1,0,1,0,"Construct image of object between f and 2f of converging lens; describe characteristics"
clm,2026,C2.A,2.5,0,0,0,0,0,0,0,"MAS x(t): k, E_k and v at midpoint; new equation for given midpoint speed"
clm,2026,C2.B,2.5,0,0,0,0,0,0,0,"EM wave 10 nm: omega, k, wave equation; v and n of medium"
clm,2026,D1,2,0,0,0,0,0,0,0,"Alpha vs proton same E_k: ratio of v and of de Broglie lambda"
clm,2026,D2,2,0,1,1,0,0,0,0,"F-18 PET radiotracer (medical): lambda; remaining mass after 5.5 h"
